longitude,latitude,housingMedianAge,totalRooms,totalBedrooms,population,households,medianIncome,medianHouseValue
-120.18,36.59,25.0,948.0,198.0,613.0,171.0,2.3026,90.6
-122.7,38.45,26.0,2011.0,557.0,855.0,530.0,1.125,233.3
-117.93,33.83,32.0,1792.0,411.0,1131.0,381.0,2.4942,186.3
-118.27,33.96,34.0,1040.0,276.0,1083.0,255.0,1.6467,90.9
-117.26,34.13,39.0,3521.0,747.0,2256.0,721.0,2.1375,87.5
-117.07,32.8,23.0,2698.0,410.0,1094.0,411.0,5.1782,195.1
-118.91,34.28,6.0,6106.0,1134.0,3246.0,1062.0,5.2206,280.2
-117.86,33.62,17.0,2975.0,371.0,1247.0,398.0,10.1989,500.001
-118.31,33.96,48.0,2015.0,356.0,1020.0,338.0,4.0625,138.7
-121.84,38.02,46.0,66.0,22.0,37.0,21.0,0.536,87.5
-117.13,32.73,43.0,2706.0,667.0,1531.0,614.0,2.1513,145.0
-121.26,38.12,27.0,1818.0,459.0,1182.0,428.0,1.8575,73.8
-117.2,32.85,22.0,3501.0,631.0,1297.0,581.0,4.7891,295.3
-123.52,41.01,17.0,1564.0,345.0,517.0,222.0,2.1542,83.8
-118.22,33.95,36.0,1679.0,483.0,2249.0,487.0,2.8167,160.4
-118.14,33.91,37.0,932.0,171.0,578.0,175.0,4.375,177.6
-117.99,34.08,35.0,1032.0,207.0,954.0,191.0,2.8906,134.8
-118.63,34.18,32.0,1646.0,242.0,697.0,233.0,6.6689,433.0
-119.78,36.78,31.0,2164.0,456.0,959.0,463.0,2.3293,73.4
-121.85,37.68,4.0,4719.0,741.0,1895.0,742.0,6.8132,282.5
-122.03,37.98,16.0,1209.0,477.0,627.0,482.0,1.3894,156.3
-118.43,34.17,35.0,2922.0,507.0,1130.0,485.0,5.451,341.8
-118.32,34.02,47.0,1648.0,346.0,1120.0,338.0,2.0042,114.2
-117.24,34.14,6.0,2383.0,606.0,1301.0,488.0,3.016,107.5
-119.97,38.94,26.0,1485.0,334.0,406.0,180.0,1.9667,84.6
-122.27,40.39,26.0,1833.0,422.0,939.0,408.0,1.3571,59.0
-117.23,32.87,15.0,2290.0,662.0,1034.0,594.0,3.0104,204.2
-115.93,35.55,18.0,1321.0,272.0,754.0,226.0,3.4028,67.5
-117.68,33.6,24.0,1956.0,262.0,969.0,256.0,6.8154,265.9
-121.04,37.7,52.0,349.0,59.0,121.0,40.0,3.3036,197.5
-122.47,37.99,22.0,7274.0,1002.0,2468.0,957.0,7.494,439.2
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,348.7
-118.3,33.86,35.0,2016.0,365.0,1083.0,369.0,5.1727,230.2
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268.5
-122.29,37.54,41.0,1743.0,349.0,811.0,349.0,4.9464,282.4
-122.29,37.94,20.0,7578.0,1426.0,3637.0,1362.0,4.4387,190.0
-118.3,33.83,31.0,2693.0,661.0,1598.0,618.0,3.1851,240.2
-118.06,33.85,16.0,4851.0,726.0,2527.0,704.0,6.0142,437.4
-122.34,37.97,19.0,2237.0,580.0,1438.0,551.0,2.3382,120.7
-119.82,36.84,7.0,2289.0,342.0,1077.0,354.0,5.4868,158.8
-122.16,37.74,47.0,824.0,223.0,533.0,166.0,2.625,98.2
-122.1,37.66,36.0,1305.0,225.0,768.0,234.0,4.275,185.3
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,128.6
-118.08,33.96,35.0,2104.0,399.0,1659.0,387.0,4.0096,165.0
-116.74,33.33,17.0,4190.0,946.0,1802.0,673.0,2.4744,158.2
-118.36,34.08,45.0,2195.0,483.0,1265.0,455.0,3.3864,397.9
-117.87,33.92,14.0,4039.0,669.0,1905.0,670.0,6.3303,303.0
-122.32,37.55,50.0,2501.0,433.0,1050.0,410.0,4.6406,500.001
-123.02,38.81,35.0,956.0,213.0,488.0,215.0,3.025,140.6
-119.64,34.43,34.0,3045.0,570.0,1002.0,488.0,5.623,500.001
-118.26,33.94,45.0,1080.0,218.0,850.0,237.0,2.25,93.4
-116.93,32.82,26.0,4129.0,714.0,1820.0,718.0,4.2586,171.0
-121.28,38.74,33.0,4384.0,778.0,1775.0,789.0,4.05,134.7
-120.43,34.86,17.0,1932.0,347.0,874.0,312.0,3.8203,141.5
-122.64,38.95,28.0,1503.0,370.0,522.0,268.0,1.2029,68.9
-122.33,40.48,26.0,695.0,126.0,319.0,124.0,3.2788,101.6
-119.03,34.21,11.0,4528.0,729.0,2398.0,684.0,5.3044,319.0
-123.2,39.23,26.0,786.0,168.0,494.0,161.0,2.3583,105.4
-117.88,33.74,16.0,1444.0,446.0,2329.0,441.0,3.1691,159.4
-117.93,33.62,34.0,2125.0,498.0,1052.0,468.0,5.6315,484.6
-118.28,34.03,41.0,1933.0,791.0,3121.0,719.0,1.8539,147.5
-122.28,37.53,34.0,1980.0,385.0,970.0,391.0,5.1207,310.9
-118.53,34.45,26.0,828.0,149.0,508.0,158.0,5.2374,185.5
-122.02,37.63,6.0,2445.0,590.0,1189.0,573.0,3.8958,301.1
-120.35,36.14,9.0,2671.0,647.0,1484.0,541.0,1.7075,60.4
-121.82,37.39,37.0,4137.0,636.0,1569.0,578.0,6.1008,286.2
-117.53,34.02,19.0,256.0,34.0,101.0,28.0,5.3269,375.0
-118.65,34.18,27.0,1793.0,339.0,1016.0,326.0,4.925,240.3
-120.48,34.66,4.0,1897.0,331.0,915.0,336.0,4.1563,172.6
-117.86,33.61,15.0,3191.0,482.0,930.0,447.0,8.6001,500.001
-117.29,33.04,30.0,2750.0,555.0,1281.0,520.0,4.7333,286.9
-119.02,36.07,39.0,1173.0,269.0,702.0,232.0,1.6146,53.1
-123.2,39.16,14.0,1908.0,484.0,1195.0,467.0,1.7929,82.3
-122.3,37.98,25.0,3807.0,806.0,1821.0,792.0,3.6518,164.3
-122.1,40.05,26.0,633.0,129.0,305.0,140.0,2.1827,72.7
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,266.3
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104.5
-118.24,33.94,30.0,940.0,211.0,1071.0,204.0,1.2679,92.0
-117.66,33.61,16.0,2022.0,254.0,789.0,270.0,8.4112,286.9
-122.47,37.77,52.0,2241.0,443.0,1042.0,377.0,4.1635,398.4
-118.16,33.91,35.0,1403.0,338.0,1415.0,367.0,3.0967,144.0
-117.08,32.97,3.0,17466.0,3336.0,7644.0,2895.0,5.4584,246.5
-117.29,34.14,39.0,1989.0,401.0,805.0,341.0,2.425,90.0
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,128.0
-118.2,33.84,35.0,3405.0,779.0,1953.0,671.0,2.7813,159.2
-118.42,34.27,35.0,2700.0,702.0,3444.0,679.0,1.4867,124.0
-117.34,34.12,26.0,1008.0,164.0,568.0,196.0,3.3516,105.6
-118.32,33.83,19.0,3792.0,790.0,2105.0,834.0,5.2363,310.0
-117.3,34.15,38.0,740.0,163.0,332.0,138.0,2.4107,88.0
-121.97,37.57,21.0,4342.0,783.0,2172.0,789.0,4.6146,247.6
-118.28,33.96,39.0,882.0,221.0,697.0,189.0,1.8472,99.1
-120.37,34.69,18.0,1868.0,315.0,747.0,265.0,4.7946,290.6
-122.06,37.6,22.0,3009.0,497.0,1640.0,514.0,4.625,235.3
-118.17,34.02,34.0,760.0,219.0,968.0,202.0,1.7813,145.0
-121.9,37.33,52.0,1009.0,231.0,929.0,210.0,2.5,162.5
-119.59,37.39,19.0,3273.0,611.0,1164.0,481.0,3.5446,106.5
-117.32,34.1,27.0,2053.0,461.0,1737.0,463.0,3.1213,78.8
-117.13,32.72,17.0,1285.0,423.0,1208.0,409.0,1.758,126.6
-121.24,38.79,23.0,1419.0,261.0,706.0,269.0,3.1875,110.2
-118.3,34.25,44.0,1442.0,285.0,859.0,292.0,4.5833,197.3
-122.7,38.03,42.0,1410.0,308.0,624.0,292.0,4.1379,309.1
-121.41,39.72,17.0,1583.0,331.0,730.0,306.0,2.3895,87.5
-117.11,32.75,21.0,2127.0,658.0,1812.0,603.0,1.6896,100.0
-121.85,37.28,17.0,4208.0,954.0,1476.0,904.0,2.3971,87.5
-117.93,33.86,36.0,1672.0,318.0,1173.0,337.0,4.5774,182.1
-122.46,37.76,28.0,1072.0,165.0,363.0,168.0,6.1636,367.7
-118.19,33.89,31.0,886.0,224.0,1154.0,247.0,2.1071,99.5
-122.42,37.8,52.0,741.0,170.0,277.0,165.0,4.4712,500.001
-121.06,36.72,23.0,395.0,70.0,166.0,52.0,2.2132,100.0
-122.84,38.98,21.0,939.0,176.0,556.0,178.0,1.7196,75.0
-117.07,33.14,16.0,2546.0,429.0,1683.0,408.0,4.7426,160.6
-118.26,34.17,20.0,5949.0,1417.0,2593.0,1337.0,3.8576,318.6
-118.9,34.3,13.0,5591.0,1013.0,3188.0,971.0,5.5925,208.6
-119.24,35.67,32.0,3216.0,750.0,2639.0,709.0,2.0025,54.7
-119.82,36.78,36.0,1582.0,313.0,761.0,318.0,2.6055,69.2
-120.0,38.9,21.0,1653.0,419.0,737.0,308.0,1.9727,114.1
-119.82,34.45,24.0,3592.0,533.0,1683.0,528.0,6.7247,333.8
-120.98,37.66,33.0,1959.0,342.0,984.0,356.0,4.5208,114.2
-118.14,34.11,52.0,3367.0,545.0,1427.0,535.0,5.2292,444.5
-122.86,39.08,24.0,3127.0,674.0,1015.0,448.0,2.0417,78.8
-119.76,36.78,30.0,6117.0,1330.0,2768.0,1224.0,2.1383,78.8
-122.49,38.29,26.0,1726.0,289.0,672.0,251.0,3.8,242.1
-118.09,33.97,35.0,2664.0,541.0,2033.0,491.0,3.7326,164.3
-121.29,38.01,10.0,69.0,16.0,50.0,20.0,3.75,120.8
-118.46,34.22,31.0,2057.0,601.0,2397.0,579.0,2.871,184.4
-122.54,37.76,45.0,1592.0,325.0,920.0,322.0,3.96,272.2
-118.35,33.86,24.0,2139.0,481.0,971.0,418.0,4.3859,271.3
